path,type,sessions_90d,sessions_365d,organic_365d,has_proof,injection_priority
/contact,other,139,532,0,footer_only,HIGH
/blog,blog,91,836,0,footer_only,HIGH
/about-sally,other,74,269,39,footer_only,HIGH
/author/sally-woods,other,29,262,138,footer_only,MED
/blog/mystery-of-missing-third-nap-early-rising,blog,21,202,99,footer_only,MED
/blog/dr-harvey-karps-5-ss-to-soothe-your-crying-baby,blog,21,171,98,footer_only,MED
/blog/all-about-the-8-10-month-sleep-regression,blog,20,267,169,footer_only,MED
/blog/babyzen-yoyo-travel-stroller-review-you-can-stop-googling-now-this-is-the-stroller-for-you,blog,19,189,155,footer_only,MED
/blog/cubo-ai-smart-baby-monitor-review-with-discount,blog,16,497,381,footer_only,MED
/4-month-sleep-regression-survival-guide,age_help,15,137,56,none,low
/blog/guide-to-self-settling-sleep-cycles,lead_magnet,14,119,18,footer_only,low
/toddler-sleep-help,age_help,13,350,33,footer_only,MED
/blog/my-honest-snoo-experience-and-review,blog,11,151,60,footer_only,MED
/blog/navigating-split-nights-a-guide-for-parents,lead_magnet,11,118,80,footer_only,low
/recommended-products,other,10,162,26,footer_only,MED
/newsletters/the-snooze-news,other,5,0,0,footer_only,low
/3-4-month-baby-sleep-course-terms-and-conditions,course,0,0,0,none,low
/5-12-month-baby-sleep-help,age_help,0,1650,121,footer_only,MED
/3-4-month-baby-sleep-help,age_help,0,1058,35,footer_only,MED
/newborn-baby-sleep-help,age_help,0,672,18,footer_only,MED
/blog/baby-catnaps-tips-guide,lead_magnet,0,0,0,footer_only,low
/free-4-month-regression-masterclass-signup,other,0,0,0,none,low
/blog/dressing-baby-for-bedtime,blog,0,0,0,footer_only,low
/blog/glow-dreaming-white-noise-review,blog,0,0,17,footer_only,low
/blog/developing-positive-cot-association-with-your-baby,blog,0,0,0,footer_only,low
/blog/shifting-your-babys-bedtime-for-daylight-savings,blog,0,0,0,footer_only,low
/blog/how-to-do-skin-to-skin-without-breastfeeding,blog,0,0,0,footer_only,low
/blog/how-to-manage-your-babys-reflux-and-sleep,blog,0,0,44,footer_only,low
/blog/navigating-childcare-and-your-childs-sleep-routine,blog,0,0,28,footer_only,low
/blog/create-meaningful-morning-rituals-for-baby,blog,0,0,0,footer_only,low
/blog/newborn-babys-and-naps,blog,0,0,0,footer_only,low
/blog/transitioning-your-baby-from-2-naps-to-1,blog,0,0,34,footer_only,low
/blog/supporting-parents-of-rainbow-babies,blog,0,0,0,footer_only,low
/blog/stop-swaddle-time-for-your-baby,blog,0,0,0,footer_only,low
/blog/how-to-make-change-when-the-4-month-sleep-regressions-hits,blog,0,0,0,footer_only,low
/blog/newborn-sleep-and-the-fourth-trimester,blog,0,0,0,footer_only,low
/blog/what-are-assisted-sleep-associations,blog,0,0,0,footer_only,low
/blog/will-my-baby-cry-when-making-sleep-changes-lets-talk-about-it,blog,0,0,0,footer_only,low
/blog/should-we-discourage-babys-thumb-and-finger-sucking,blog,0,0,29,footer_only,low
/blog/4-month-regression-or-progression,blog,0,0,0,footer_only,low
/blog/the-power-of-calm-but-awake-for-babies,blog,0,0,22,footer_only,low
/blog/tips-for-managing-baby-early-wake-ups,blog,0,0,0,footer_only,low
/blog/7-tips-for-maintaining-you-babys-sleep-while-travelling,blog,0,0,0,footer_only,low
/blog/baby-sleep-schedule-wake-windows-vs-clock-schedules,blog,0,0,46,footer_only,low
/blog/stop-4-month-babies-sleep-regression-fear,blog,0,0,0,footer_only,low
/blog/my-snoo-review,blog,0,0,0,footer_only,low
/blog/when-to-lower-the-cot-mattress,blog,0,0,42,footer_only,low
/blog/sick-babies-and-sleep,blog,0,0,0,footer_only,low
/blog/why-am-i-the-sleep-concierge,blog,0,0,0,footer_only,low
/baby-sleep-glossary,glossary,0,0,0,none,low
/3-4-month-masterclass-replay,other,0,0,0,none,low
/camp-snooze-sleep-coaching,camp,844,2281,140,yes,low
/,home,697,8106,2851,yes,low
/5-12-month-baby-sleep-course,course,602,1852,68,yes,low
/one-on-one-sleep-consultations,consultation,370,2271,240,yes,low
/3-4-month-baby-sleep-course,course,147,2965,27,yes,low
/toddler-toolkit,age_help,127,547,27,yes,low
/newborn-sleep-guide,lead_magnet,56,201,0,yes,low
