Project,Category,Asset,Folder,HTML,Wrapper ID,CSS,JS,Live URL,Notes,Status
snooze-website,Website Page,Home Page V2 (Uplift),projects/snooze-website/kajabi-deployment/pages/website/Home-V2,projects/snooze-website/kajabi-deployment/pages/website/Home-V2/home-page-v2.html,home-page,,,https://joinsnooze.com/,,Deployed
snooze-website,Global Assets,Unified CSS and Global JS,projects/snooze-website/kajabi-deployment/global,,,projects/snooze-website/kajabi-deployment/global/css/snooze-unified-theme.css,projects/snooze-website/kajabi-deployment/global/js/snooze-globals.js,,,Deployed
snooze-website,Global HTML,Navigation and Footer,projects/snooze-website/kajabi-deployment/global/html,projects/snooze-website/kajabi-deployment/global/html/navigation.html; projects/snooze-website/kajabi-deployment/global/html/footer.html,,,,,,Deployed
snooze-website,Components,Reusable HTML Blocks,projects/snooze-website/kajabi-deployment/components,projects/snooze-website/kajabi-deployment/components/age-cross-linking.html; projects/snooze-website/kajabi-deployment/components/context-aware-cta.html; projects/snooze-website/kajabi-deployment/components/messenger-chat-widget.html; projects/snooze-website/kajabi-deployment/components/understanding-section.html; projects/snooze-website/kajabi-deployment/components/value-comparison.html; projects/snooze-website/kajabi-deployment/components/whats-in-snooze.html; projects/snooze-website/kajabi-deployment/components/hero-sections/hero-template-age-specific.html; projects/snooze-website/kajabi-deployment/components/hero-sections/hero-template-landing.html; projects/snooze-website/kajabi-deployment/components/hero-sections/hero-template-product.html,,projects/snooze-website/kajabi-deployment/components/messenger-chat-widget-standalone.css,,,,Deployed
snooze-website,Website Page,About Sally,projects/snooze-website/kajabi-deployment/pages/website/about-sally,projects/snooze-website/kajabi-deployment/pages/website/about-sally/about-sally.html,about-sally-page,,,https://joinsnooze.com/about-sally,,Deployed
snooze-website,Website Page,Blog Index,projects/snooze-website/kajabi-deployment/pages/website/blog-index,projects/snooze-website/kajabi-deployment/pages/website/blog-index/blog-index.html,blog-index-page,,,https://joinsnooze.com/blog,,Deployed
snooze-website,Website Page,Consultations,projects/snooze-website/kajabi-deployment/pages/website/consultations,projects/snooze-website/kajabi-deployment/pages/website/consultations/one-on-one-consultations-page.html,consultations-page,,,https://joinsnooze.com/one-on-one-sleep-consultations,,Deployed
snooze-website,Website Page,Library,projects/snooze-website/kajabi-deployment/pages/website/library,projects/snooze-website/kajabi-deployment/pages/website/library/library-page.html; projects/snooze-website/kajabi-deployment/pages/website/library/library-page-complete.html,library-page,projects/snooze-website/kajabi-deployment/pages/website/library/styles.css,,https://joinsnooze.com/snooze-library,,Deployed
snooze-website,Website Page,Recommended Products,projects/snooze-website/kajabi-deployment/pages/website/recommended-products,projects/snooze-website/kajabi-deployment/pages/website/recommended-products/recommended-products-complete.html,recommended-products-page,,,https://joinsnooze.com/recommended-products,,Deployed
snooze-website,Website Page,Snooze Method,projects/snooze-website/kajabi-deployment/pages/website/snooze-method,projects/snooze-website/kajabi-deployment/pages/website/snooze-method/snooze-method-page-complete.html; projects/snooze-website/kajabi-deployment/pages/website/snooze-method/the-snooze-method.html,snooze-method-page,,,https://joinsnooze.com/snooze-method,,Deployed
