path,url,page_id,kind,publish_state,http_status,current_title,title_len,title_status,current_meta_description,desc_len,desc_status,canonical,has_jsonld,og_image,kajabi_missing,page_value,priority,recommended_title,recommended_meta_description,notes
,https://www.joinsnooze.com/,,,,200,Snooze | Sleep Help for the Modern Parent,41,ok,"Get clear, evidence-based sleep guidance for your baby. The Snooze Method helps tired parents reduce night wakes and extend naps. Join Snooze today.",148,ok,https://www.joinsnooze.com,Y,https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/sites/2148291177/images/5a0acc0-1-35b-0af-fbf7748ab0a_Snooze_x_TSC_-_coral_web.png,,,,,,
3-4-month-baby-sleep-course,https://www.joinsnooze.com/3-4-month-baby-sleep-course,,,,200,3-4 Month Baby Sleep Course: Complete Guide for Sleep Changes | Snooze,70,long,"Beat the 4-month sleep regression with evidence-based strategies. Self-paced course for 3-4 month babies. Fix cat naps, hourly wakes, and build better sleep. Lifetime access. Created by paediatric nurse and certified sleep consultant.",234,long,https://www.joinsnooze.com/3-4-month-baby-sleep-course,N,https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/sites/2148291177/images/035dd7-6f5e-8e07-b5a-1e06488ec07_3-4_Month_Course.jpg,,,,3-4 Month Baby Sleep Course | Snooze,"Self-paced 3-4 month baby sleep course from Snooze. Ease the 4-month regression, fix cat naps and hourly wakes, and build better sleep. Access with the Snooze Membership.",
3-4-month-baby-sleep-course-terms-and-conditions,https://www.joinsnooze.com/3-4-month-baby-sleep-course-terms-and-conditions,2150314925,landing_pages,published,200,The 3-4 Month Baby Sleep Course Terms and Conditions,52,ok,,0,missing,https://www.joinsnooze.com/3-4-month-baby-sleep-course-terms-and-conditions,N,,seo_description;social_image,0.0,0.0,,,
3-4-month-baby-sleep-help,https://www.joinsnooze.com/3-4-month-baby-sleep-help,,,,200,3-4 Month Sleep Regression: How to Help Your Baby Sleep Better,62,long,"Is your 3-4 month old suddenly waking more? Learn about the 4-month sleep regression, why it happens, and gentle ways to help your baby sleep better. Expert guidance on sleep training readiness and managing short naps.",218,long,https://www.joinsnooze.com/3-4-month-baby-sleep-help,N,https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/sites/2148291177/images/c226ee-7dd-2f2-66ee-a414d853c6bf_TSC_-_Age_Ranges_Social_Images.jpg,,,,,,
3-4-month-masterclass-replay,https://www.joinsnooze.com/3-4-month-masterclass-replay,,,,200,3-4 Month Baby Sleep Training Masterclass | Stop 4-Month Regression,67,long,Get a proven plan for better baby sleep with The 3-4 Month Baby Sleep Training Masterclass by The Sleep Concierge. This free masterclass offers an introduction to sleep training for your baby and links to expert support to help beat the 4-month regression and cut night wakes.,276,long,https://www.joinsnooze.com/3-4-month-masterclass-replay,Y,https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/sites/2148291177/images/d83ca6-385f-1752-4d88-a620da1cb1d_Sleep_TRAINING_Masterclass_Thumb.jpg,,,,,,
4-month-sleep-regression-survival-guide,https://www.joinsnooze.com/4-month-sleep-regression-survival-guide,,,,200,FREE: Surviving the 4 Month Sleep Regression | The Sleep Concierge,66,long,Get your free guide to surviving the 4 month sleep regression. Discover the science behind your baby,100,short,https://www.joinsnooze.com/4-month-sleep-regression-survival-guide,N,https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/sites/2148291177/images/cdb5cb5-f65-bbb3-0cd0-8bc46df85d4_086adff4-4a1c-4255-97e6-494d51ce9983.png,,,,,,
5-12-month-baby-sleep-course,https://www.joinsnooze.com/5-12-month-baby-sleep-course,,,,200,5-12 Month Baby Sleep Course: Handle Every Tricky Moment | Snooze,65,long,"A self-paced course covering wake windows, nap transitions, and gentle strategies for building independent sleep skills during the 5-12 month stage. Includes 23 lessons and downloadable resources.",196,long,https://www.joinsnooze.com/5-12-month-baby-sleep-course,N,https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/sites/2148291177/images/875515c-88ef-f6dd-1154-081f27fff2ab_5-12_Month_Guide.jpg,,,,,,
5-12-month-baby-sleep-help,https://www.joinsnooze.com/5-12-month-baby-sleep-help,,,,200,5-12 Month Baby Sleep Help: Fix Early Rising & Nap Transitions,62,long,"Struggling with early rising or nap transitions? Get expert help for 5-12 month babies. Learn how to fix 5am wake-ups, manage nap schedules, and navigate sleep regressions. Practical, gentle strategies that work.",212,long,https://www.joinsnooze.com/5-12-month-baby-sleep-help,N,https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/sites/2148291177/images/6fc0e76-0fd-f343-2410-3535c15f855e_TSC_-_Age_Ranges_Social_Images_1_.jpg,,,,,,
about,https://www.joinsnooze.com/about,,,,200,Snooze | Sleep Help for the Modern Parent,41,ok,"Get clear, evidence-based sleep guidance for your baby. The Snooze Method helps tired parents reduce night wakes and extend naps. Join Snooze today.",148,ok,https://www.joinsnooze.com,Y,https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/sites/2148291177/images/5a0acc0-1-35b-0af-fbf7748ab0a_Snooze_x_TSC_-_coral_web.png,,,,,,
about-sally,https://www.joinsnooze.com/about-sally,2154679198,website_pages,published,200,About | The Sleep Concierge,27,short,Learn more about The Sleep Concierge – your trusted expert sleep advice and review source. We are dedicated to helping mothers and babies achieve restful nights with reliable tips and recommendations,199,long,https://www.joinsnooze.com/about-sally,N,https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/sites/2148291177/images/5a0acc0-1-35b-0af-fbf7748ab0a_Snooze_x_TSC_-_coral_web.png,social_image,0.0,0.0,,,
account,https://www.joinsnooze.com/account,,,,404,Not Found (404),15,short,,0,missing,https://www.joinsnooze.com/account,N,,,,,,,
author/sally-woods,https://www.joinsnooze.com/author/sally-woods,2155672758,website_pages,published,200,"Sally Woods - Founder, Sleep Expert and Owner of The Sleep Concierge",68,long,"Sally Woods, founder of The Sleep Concierge, renowned sleep expert, and author. Discover her passion for helping families achieve better sleep through expert guidance and proven strategies.",189,long,https://www.joinsnooze.com/author/sally-woods,N,https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/sites/2148291177/images/5a0acc0-1-35b-0af-fbf7748ab0a_Snooze_x_TSC_-_coral_web.png,social_image,0.0,0.0,Sally Woods | Founder of The Sleep Concierge,"Sally Woods is the founder of The Sleep Concierge and Snooze, a certified sleep consultant and former paediatric nurse helping families get better sleep.",
baby-sleep-glossary,https://www.joinsnooze.com/baby-sleep-glossary,2152090144,landing_pages,published,200,Sleep & Parenting Glossary | Snooze,35,ok,"Plain-language definitions for the baby sleep and parenting terms parents search for, from wake windows to sleep regressions to contact naps. Written by Sally Woods, paediatric nurse and certified sleep consultant.",214,long,https://www.joinsnooze.com/baby-sleep-glossary,Y,,social_image,0.0,0.0,,,
blog,https://www.joinsnooze.com/blog,,,,200,The Sleep Concierge Blog: Expert Baby & Toddler Sleep Advice,60,ok,"Get expert sleep tips and advice for babies and toddlers from The Sleep Concierge blog. Discover strategies for tackling sleep regressions, establishing healthy sleep habits, and creating a safe sleep environment. Find the support you need for better sleep at every stage.",272,long,https://www.joinsnooze.com/blog,N,https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/sites/2148291177/images/8fbe828-467-b52e-3d4-e621ac2d627_06612631-7148-4783-88a1-620396ec0576.jpeg,,,,,,
blog/4-month-regression-or-progression,https://www.joinsnooze.com/blog/4-month-regression-or-progression,,,,200,"4-Month Sleep Regression Explained: Causes, Signs, and Solutions",64,long,"The 4-month sleep regression can be challenging for parents. Learn about its causes, signs, and practical tips to help your baby adjust and develop healthy sleep habits.",169,long,https://www.joinsnooze.com/blog/4-month-regression-or-progression,N,https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/blogs/2147772521/images/eb15ea8-bed8-3dd0-2da7-4e3862a08fa2_four-month-sleep-regression-progression-66f928cdc0963.webp,,,,,,
blog/7-tips-for-maintaining-you-babys-sleep-while-travelling,https://www.joinsnooze.com/blog/7-tips-for-maintaining-you-babys-sleep-while-travelling,,,,200,Essential Tips for Traveling with a Baby During the Holidays,60,ok,"Planning a holiday with your baby? Discover practical tips for managing sleep schedules, packing essentials, and ensuring a fun, memorable experience for the whole family. Enjoy your summer adventures in Australia!",214,long,https://www.joinsnooze.com/blog/7-tips-for-maintaining-you-babys-sleep-while-travelling,N,https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/blogs/2147772521/images/d167e6-02e3-7182-5618-7fea436aace3_sleep-tips-for-travelling-66f92651d75be.webp,,,,,,
