PageValue,Priority,path,page_id,kind,publish_state,missing,internal_title
0.0,0.0,baby-sleep-glossary,2152090144,landing_pages,published,social_image,Sleep & Parenting Glossary
0.0,0.0,day-pass,2152089948,landing_pages,draft,seo_title;seo_description;social_image,Snooze Day Pass
0.0,0.0,thankyou/lmcr08-access,2151828177,landing_pages,published,seo_description;social_image,3-4 Month Feeds - Thank You
0.0,0.0,testing-page,2151773154,landing_pages,draft,seo_title;seo_description;social_image,TESTING Page
0.0,0.0,thankyou/2x92ualf,2151810974,landing_pages,published,seo_description;social_image,LMCR04 - Thank You Page
0.0,0.0,snooze-home-testing,2151789857,landing_pages,draft,seo_title;seo_description;social_image,Snooze Home (TESTING PAGE)
0.0,0.0,early-snooze-access,2151791139,landing_pages,draft,seo_title;seo_description;social_image,Early Snooze Access
0.0,0.0,camp-snooze-waitlist,2151494634,landing_pages,draft,seo_title;seo_description;social_image,Camp Snooze Waitlist
0.0,0.0,founding-member-new,2151755773,landing_pages,draft,seo_title;seo_description;social_image,Founding-Member New
0.0,0.0,thank-you-snooze-founder,2151729697,landing_pages,draft,seo_title;seo_description;social_image,Thank You - Snooze Founder
0.0,0.0,3-4-month-baby-sleep-course-terms-and-conditions,2150314925,landing_pages,published,seo_description;social_image,The 3-4 Month Baby Sleep Course Terms and Conditions 
0.0,0.0,confirmation,2150240497,landing_pages,draft,seo_description;social_image,We've Saved Your Seat 
0.0,0.0,snooze-redirect,2151434021,landing_pages,published,seo_description;social_image,Snooze Waitlist Redirect
0.0,0.0,snooze-assets-page,2151633132,landing_pages,draft,seo_title;seo_description;social_image,Snooze Assets Page
0.0,0.0,camp-snooze-waitlist-1,2151497036,landing_pages,draft,seo_title;seo_description;social_image,Camp Snooze Waitlist 1
0.0,0.0,template3-4-sleep-masterclass-replay,2151266110,landing_pages,draft,seo_title;seo_description;social_image,R.A. TEMPLATE 3-4 Sleep Masterclass Replay + Course
0.0,0.0,joinus-96bca3d4-dfa2-4576-be27-f384026f3a58,2151212370,landing_pages,draft,seo_title;seo_description;social_image,test001 Presale Landing Page
0.0,0.0,encore-page-1714377471_1_-1,2151195760,landing_pages,draft,seo_title;seo_description;social_image,encore-page-1714377471_1_ 1
0.0,0.0,encore-page-1714377471_1_,2151195749,landing_pages,draft,seo_title;seo_description;social_image,encore-page-1714377471_1_
0.0,0.0,joinus,2150589161,landing_pages,draft,seo_title;seo_description;social_image,5-12 Month Sleep Guide by The Sleep Concierge Presale Landing Page
0.0,0.0,blank-page-6ec11abd-96da-4b7e-a118-120219692b94,2150240484,landing_pages,draft,seo_title;seo_description;social_image,Blank Page
0.0,0.0,blank-page,2150169706,landing_pages,draft,seo_title;seo_description;social_image,Blank Page
0.0,0.0,blank,2150166556,landing_pages,draft,seo_title;seo_description;social_image,Blank
0.0,0.0,about-sally,2154679198,website_pages,published,social_image,
0.0,0.0,author/sally-woods,2155672758,website_pages,published,social_image,
0.0,0.0,snooze-library,2156716053,website_pages,published,seo_description;social_image,
0.0,0.0,terms-conditions,2155414022,website_pages,published,social_image,
0.0,0.0,privacy-policy,2156730062,website_pages,published,social_image,
0.0,0.0,contact,2154679194,website_pages,published,seo_description;social_image,
0.0,0.0,downloadable-free-sleep-guides,2155671326,website_pages,draft,social_image,
0.0,0.0,sleep-term-glossary,2155377007,website_pages,draft,seo_description;social_image,
