Priority,PageValue,OpportunityGap,actionable,path,type,status,views_90d,sessions_90d,sessions_365d,organic_365d,begin_checkout,purchase,generate_lead,engaged_rate_90d,sec_per_session_90d,word_count,jsonld_types,missing_meta_desc,missing_og_image,images_missing_alt,has_proof,issues,slug
29.3,88.0,33.3,yes,/5-12-month-baby-sleep-course,course,200,693,602,1852,68,337,45,0,0.63,20.4,1580,,0,0,1,yes,no_jsonld;images_missing_alt:1,5_12_month_baby_sleep_course
24.8,57.8,42.9,no,/products/5-12-month-sleep-training-course,course,200,312,163,778,24,0,0,0,0.96,27.7,66,,0,0,0,footer_only,redirect_302;login_gated;thin_content(<250w),products_5_12_month_sleep_training_course
24.6,34.5,71.4,yes,/author/sally-woods,other,200,37,29,262,138,0,0,0,0.86,13.2,187,,0,0,4,footer_only,no_jsonld;images_missing_alt:4;thin_content(<250w),author_sally_woods
24.2,42.3,57.1,yes,/contact,other,200,156,139,532,0,0,0,0,0.99,15.1,170,,0,0,1,footer_only,no_jsonld;images_missing_alt:1;thin_content(<250w),contact
23.4,70.3,33.3,yes,/one-on-one-sleep-consultations,consultation,200,432,370,2271,240,0,0,156,0.7,21.7,1577,,0,0,1,yes,no_jsonld;images_missing_alt:1,one_on_one_sleep_consultations
23.3,32.6,71.4,yes,/blog/cubo-ai-smart-baby-monitor-review-with-discount,blog,200,17,16,497,381,0,0,0,0.38,84.8,955,,0,0,5,footer_only,"no_jsonld;images_missing_alt:5;cwv_outlier(TTFB=2969.7ms,LCP=3032ms)",blog_cubo_ai_smart_baby_monitor_review_with_discount
21.3,64.0,33.3,yes,/camp-snooze-sleep-coaching,camp,200,926,844,2281,140,90,7,0,0.49,18.8,1244,,0,0,1,yes,no_jsonld;images_missing_alt:1,camp_snooze_sleep_coaching
21.2,49.4,42.9,no,/products/toddler-toolkit,product,200,98,49,363,0,0,0,0,0.98,35.0,66,,0,0,0,footer_only,redirect_302;login_gated;thin_content(<250w),products_toddler_toolkit
19.5,19.5,100.0,yes,/newsletters/the-snooze-news,other,200,12,5,0,0,0,0,0,0.8,8.8,127,,1,1,1,footer_only,missing_meta_description;missing_h1;no_jsonld;thin_content;missing_og_image;images_missing_alt:1,newsletters_the_snooze_news
19.4,37.1,52.4,yes,/about-sally,other,200,93,74,269,39,0,0,0,0.77,17.5,609,,0,0,1,footer_only,"no_jsonld;images_missing_alt:1;cwv_outlier(TTFB=1701.7ms,LCP=1752ms)",about_sally
